site_id,site_name,site_type,agency,state,latitude,longitude,first_date_data_available,last_date_data_available,record_count,site_query_url,date_metadata_last_updated,tz_cd,doi,huc8,conus1_i,conus1_j,conus2_i,conus2_j,usda_elevation
664:MT:SNTL,Noisy Basin,SNOTEL station,NRCS,MT,48.15678,-113.94637,1974-10-01,2026-01-24,18744,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010208,548.0,1753.0,1002.0,2673.0,6040.0
665:NM:SNTL,North Costilla,SNOTEL station,NRCS,NM,36.99396,-105.25988,1979-10-01,2026-01-24,16918,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,13020101,1066.0,425.0,1493.0,1380.0,10598.0
666:OR:SNTL,North Fork,SNOTEL station,NRCS,OR,45.5505,-122.00283,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17080001,,,358.0,2556.0,3060.0
667:MT:SNTL,North Fork Jocko,SNOTEL station,NRCS,MT,47.2726,-113.75617,1989-10-01,2026-01-24,13265,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,17010212,543.0,1653.0,995.0,2578.0,6330.0
668:WY:SNTL,North French Creek,SNOTEL station,NRCS,WY,41.33087,-106.37558,1978-10-01,2026-01-24,17283,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10180002,1022.0,911.0,1451.0,1856.0,10153.0
669:CO:SNTL,North Lost Trail,SNOTEL station,NRCS,CO,39.07818,-107.14388,1985-10-01,2026-01-24,14726,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,14010004,928.0,672.0,1359.0,1623.0,9219.0
920:SD:SNTL,North Rapid Creek,SNOTEL station,NRCS,SD,44.20617,-103.78758,1996-09-28,2026-01-24,10711,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10120110,1264.0,1207.0,1686.0,2143.0,6130.0
670:MT:SNTL,Northeast Entrance,SNOTEL station,NRCS,MT,45.00565,-110.01406,1966-10-01,2026-01-24,21666,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,10070001,784.0,1354.0,1224.0,2287.0,7350.0
1127:AZ:SNTL,Nutrioso,SNOTEL station,NRCS,AZ,33.89791,-109.15465,2008-10-01,2026-01-24,6325,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,15040004,674.0,128.0,1107.0,1089.0,8571.0
1146:UT:SNTL,Oak Creek,SNOTEL station,NRCS,UT,39.3485,-112.32639,2010-07-12,2026-01-24,5676,https://wcc.sc.egov.usda.gov/awdbWebService/webservice/testwebservice.jsf?webserviceName=/awdbWebService,2023-03-07,PST,,16030005,492.0,768.0,935.0,1720.0,7850.0
